"Team","Season","Games","PassF","PctF","xPctF","ScoreF","Per100F","VertF","PassA","PctA","xPctA","VertA","ScoreA","Per100A","ScoreDiff","VertDiff","Gini18","Comp"
"LAFC",2019,34,19144,0.834,0.815,360.011,1.881,3.582,14387,0.762,0.775,4.315,-196.718,-1.367,556.729,-0.734,0.657,14439693
"TOR",2019,34,19386,0.838,0.809,556.754,2.872,3.196,16275,0.806,0.794,3.621,191.055,1.174,365.699,-0.425,0.724,22193619
"NYC",2019,34,18616,0.802,0.798,84.594,0.454,3.716,13828,0.733,0.749,4.562,-219.674,-1.589,304.268,-0.847,0.433,10051253
"SJE",2019,34,18421,0.826,0.808,322.378,1.75,3.1,13341,0.764,0.762,4.917,29.933,0.224,292.445,-1.817,0.353,9161431
"PHI",2019,34,17825,0.805,0.79,269.215,1.51,3.417,15947,0.787,0.788,4.097,-18.218,-0.114,287.432,-0.681,0.518,8959605
"LAG",2019,34,16741,0.808,0.778,502.539,3.002,4.18,16712,0.812,0.794,4.167,300.137,1.796,202.401,0.013,0.633,18514139
"FCD",2019,34,18132,0.832,0.816,297.016,1.638,2.697,15699,0.807,0.794,3.438,201.59,1.284,95.426,-0.741,0.344,8730844
"SKC",2019,34,17276,0.815,0.803,208.2,1.205,3.083,15645,0.798,0.79,3.863,117.223,0.749,90.977,-0.781,0.384,13013585
"ATL",2019,34,18215,0.81,0.806,63.739,0.35,3.095,14564,0.775,0.777,4.316,-21.937,-0.151,85.676,-1.222,0.493,12670769
"CHI",2019,34,16364,0.79,0.781,149.728,0.915,3.561,17329,0.8,0.795,3.496,92.364,0.533,57.364,0.065,0.638,16907430
"RSL",2019,34,16186,0.798,0.79,127.04,0.785,3.474,16450,0.791,0.786,3.595,74.298,0.452,52.742,-0.121,0.447,10832522
"NYRB",2019,34,14657,0.675,0.705,-437.179,-2.983,5.892,16686,0.73,0.755,4.613,-430.773,-2.582,-6.407,1.28,0.446,8301854
"POR",2019,34,16929,0.796,0.783,226.416,1.337,4.541,16967,0.801,0.786,4.239,253.174,1.492,-26.758,0.302,0.477,11786333
"CLB",2019,34,16662,0.788,0.787,28.55,0.171,3.769,17248,0.797,0.793,3.383,61.905,0.359,-33.355,0.386,0.409,10400782
"NER",2019,34,14661,0.75,0.748,26.051,0.178,5.768,17846,0.788,0.782,3.959,103.214,0.578,-77.163,1.809,0.49,8930469
"MTL",2019,34,16891,0.799,0.797,28.45,0.168,3.147,17649,0.808,0.802,3.123,111.857,0.634,-83.408,0.024,0.624,12139404
"SEA",2019,34,17502,0.802,0.791,192.311,1.099,3.603,17171,0.81,0.793,3.457,292.26,1.702,-99.95,0.145,0.448,12621163
"CIN",2019,34,15187,0.77,0.777,-111.961,-0.737,3.667,17563,0.792,0.788,3.14,73.593,0.419,-185.554,0.527,0.426,10312162
"HOU",2019,34,15401,0.798,0.787,170.36,1.106,3.325,17483,0.825,0.805,3.441,356.482,2.039,-186.122,-0.116,0.404,7665634
"ORL",2019,34,16030,0.786,0.782,67.371,0.42,3.868,17530,0.807,0.79,3.774,304.238,1.736,-236.867,0.094,0.508,11359974
"MIN",2019,34,15227,0.772,0.77,31.947,0.21,4.532,18946,0.813,0.798,3.404,280.99,1.483,-249.042,1.128,0.392,9180564
"DCU",2019,34,16108,0.782,0.782,-7.886,-0.049,3.767,17681,0.796,0.781,3.373,249.701,1.412,-257.587,0.395,0.53,10571569
"COL",2019,34,13356,0.753,0.749,57.053,0.427,4.958,18580,0.818,0.798,3.274,365.248,1.966,-308.194,1.684,0.503,8937176
"VAN",2019,34,15760,0.797,0.794,36.945,0.234,3.669,19150,0.827,0.792,3.334,677.698,3.539,-640.753,0.335,0.369,8000713
