Pos,Team,Pld,W,L,T,GF,GA,GD,Pts
1,Los Angeles FC,34,21,4,9,85,37,48,72
2,New York City FC,34,18,6,10,63,42,21,64
3,Atlanta United,34,18,12,4,58,43,15,58
4,Seattle Sounders FC,34,16,10,8,52,49,3,56
5,Philadelphia Union,34,16,11,7,58,50,8,55
6,Real Salt Lake,34,16,13,5,46,41,5,53
7,Minnesota United,34,15,11,8,52,43,9,53
8,LA Galaxy,34,16,15,3,58,59,−1,51
9,Toronto FC,34,13,10,11,57,52,5,50
10,DC United,34,13,10,11,42,38,4,50
11,Portland Timbers,34,14,13,7,52,49,3,49
12,New York Red Bulls,34,14,14,6,53,51,2,48
13,FC Dallas,34,13,12,9,54,46,8,48
14,New England Revolution,34,11,11,12,50,57,−7,45
15,San Jose Earthquakes,34,13,16,5,52,55,−3,44
16,Colorado Rapids,34,12,16,6,58,63,−5,42
17,Chicago Fire,34,10,12,12,55,47,8,42
18,Montreal Impact,34,12,17,5,47,60,−13,41
19,Houston Dynamo,34,12,18,4,49,59,−10,40
20,Columbus Crew,34,10,16,8,39,47,−8,38
21,Sporting Kansas City,34,10,16,8,49,67,−18,38
22,Orlando City,34,9,15,10,44,52,−8,37
23,Vancouver Whitecaps,34,8,16,10,37,59,−22,34
24,FC Cincinnati,34,6,22,6,31,75,−44,24
