R,Team,Left Side,Middle of the pitch,Right Side,League
1,Tottenham,35%,29%,36%,PL
2,Burnley,42%,27%,31%,PL
3,Manchester City,41%,27%,33%,PL
4,Chelsea,39%,26%,35%,PL
5,Watford,38%,26%,35%,PL
6,Liverpool,37%,26%,37%,PL
7,Aston Villa,39%,25%,36%,PL
8,Southampton,42%,24%,34%,PL
9,Newcastle United,40%,24%,36%,PL
10,Arsenal,38%,24%,38%,PL
11,Crystal Palace,45%,23%,32%,PL
12,Bournemouth,43%,23%,34%,PL
13,West Ham,42%,23%,35%,PL
14,Manchester United,42%,23%,35%,PL
15,Brighton,39%,23%,38%,PL
16,Everton,37%,23%,40%,PL
17,Leicester,36%,23%,40%,PL
18,Norwich,41%,22%,37%,PL
19,Wolverhampton Wanderers,37%,21%,42%,PL
20,Sheffield United,39%,19%,42%,PL
1,Los Angeles FC,33%,34%,32%,MLS
2,Portland Timbers,33%,31%,36%,MLS
3,New York City FC,38%,30%,32%,MLS
4,LA Galaxy,34%,30%,37%,MLS
5,Atlanta United,36%,29%,35%,MLS
6,Colorado Rapids,33%,28%,39%,MLS
7,Minnesota United,30%,28%,42%,MLS
8,DC United,38%,27%,35%,MLS
9,Orlando City,36%,27%,37%,MLS
10,Toronto FC,35%,27%,38%,MLS
11,Houston Dynamo,40%,26%,34%,MLS
12,Sporting Kansas City,39%,26%,35%,MLS
13,Real Salt Lake,37%,26%,36%,MLS
14,Philadelphia Union,36%,26%,38%,MLS
15,San Jose Earthquakes,35%,26%,40%,MLS
16,Columbus Crew,34%,26%,39%,MLS
17,New England Revolution,34%,26%,39%,MLS
18,Chicago Fire,40%,25%,34%,MLS
19,FC Cincinnati,40%,25%,35%,MLS
20,FC Dallas,35%,25%,40%,MLS
21,Vancouver Whitecaps,40%,24%,36%,MLS
22,New York Red Bulls,35%,24%,41%,MLS
23,Seattle Sounders FC,42%,23%,35%,MLS
24,Montreal Impact,36%,21%,42%,MLS
