Team,logourl
Manchester City,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
Liverpool,https://upload.wikimedia.org/wikipedia/en/0/0c/Liverpool_FC.svg
Leicester,https://upload.wikimedia.org/wikipedia/en/2/2d/Leicester_City_crest.svg
Chelsea,https://upload.wikimedia.org/wikipedia/en/c/cc/Chelsea_FC.svg
Wolverhampton Wanderers,https://upload.wikimedia.org/wikipedia/en/f/fc/Wolverhampton_Wanderers.svg
Manchester United,https://upload.wikimedia.org/wikipedia/en/7/7a/Manchester_United_FC_crest.svg
Tottenham,https://upload.wikimedia.org/wikipedia/en/b/b4/Tottenham_Hotspur.svg
Sheffield United,https://upload.wikimedia.org/wikipedia/en/9/9c/Sheffield_United_FC_logo.svg
Crystal Palace,https://upload.wikimedia.org/wikipedia/en/0/0c/Crystal_Palace_FC_logo.svg
Arsenal,https://upload.wikimedia.org/wikipedia/en/5/53/Arsenal_FC.svg
Burnley,https://upload.wikimedia.org/wikipedia/en/6/62/Burnley_F.C._Logo.svg
West Ham,https://upload.wikimedia.org/wikipedia/en/c/c2/West_Ham_United_FC_logo.svg
Brighton,https://upload.wikimedia.org/wikipedia/en/f/fd/Brighton_%26_Hove_Albion_logo.svg
Everton,https://upload.wikimedia.org/wikipedia/en/7/7c/Everton_FC_logo.svg
Newcastle United,https://upload.wikimedia.org/wikipedia/en/5/56/Newcastle_United_Logo.svg
Aston Villa,https://upload.wikimedia.org/wikipedia/en/f/f9/Aston_Villa_FC_crest_%282016%29.svg
Bournemouth,https://upload.wikimedia.org/wikipedia/en/e/e5/AFC_Bournemouth_%282013%29.svg
Southampton,https://upload.wikimedia.org/wikipedia/en/c/c9/FC_Southampton.svg
Watford,https://upload.wikimedia.org/wikipedia/en/e/e2/Watford.svg
Norwich,https://upload.wikimedia.org/wikipedia/en/8/8c/Norwich_City.svg
Los Angeles FC,NA
LA Galaxy,NA
Atlanta United,NA
New York City FC,NA
DC United,NA
Minnesota United,NA
Philadelphia Union,NA
San Jose Earthquakes,NA
Portland Timbers,NA
FC Dallas,NA
Real Salt Lake,NA
Chicago Fire,NA
New York Red Bulls,NA
Seattle Sounders FC,NA
Colorado Rapids,NA
New England Revolution,NA
Toronto FC,NA
Orlando City,NA
Montreal Impact,NA
Vancouver Whitecaps,NA
Columbus Crew,NA
Houston Dynamo,NA
Sporting Kansas City,NA
FC Cincinnati,NA
Atalanta,NA
Lazio,NA
Juventus,NA
Inter,NA
Roma,NA
Sassuolo,NA
Napoli,NA
AC Milan,NA
Parma Calcio 1913,NA
Verona,NA
Torino,NA
Fiorentina,NA
Cagliari,NA
Bologna,NA
Udinese,NA
Sampdoria,NA
Genoa,NA
Lecce,NA
SPAL 2013,NA
Brescia,NA
Bayern Munich,NA
Borussia Dortmund,NA
RasenBallsport Leipzig,NA
Borussia M.Gladbach,NA
Bayer Leverkusen,NA
Wolfsburg,NA
Eintracht Frankfurt,NA
FC Koln,NA
Schalke 04,NA
Union Berlin,NA
Freiburg,NA
Hoffenheim,NA
Hertha Berlin,NA
Mainz 05,NA
Paderborn,NA
Augsburg,NA
Fortuna Duesseldorf,NA
Werder Bremen,NA
Real Madrid,NA
Barcelona,NA
Sevilla,NA
Atletico Madrid,NA
Villarreal,NA
Real Sociedad,NA
Athletic Bilbao,NA
Valencia,NA
Getafe,NA
Real Betis,NA
Granada,NA
Osasuna,NA
Celta Vigo,NA
Levante,NA
Deportivo Alaves,NA
Eibar,NA
Real Valladolid,NA
Leganes,NA
Mallorca,NA
Espanyol,NA
