R,Team,P,W,D,L,GF,GA,GD,Pts,Form
1,Liverpool,29,27,1,1,66,21,45,82,WWWWLW
2,Manchester City,28,18,3,7,68,31,37,57,DWLWWL
3,Leicester,29,16,5,8,58,28,30,53,WDDLLW
4,Chelsea,29,14,6,9,51,39,12,48,DDLWDW
5,Manchester United,29,12,9,8,44,30,14,45,LDWWDW
6,Wolverhampton Wanderers,29,10,13,6,41,34,7,43,LDDWWD
7,Sheffield United,28,11,10,7,30,25,5,43,DLWWDW
8,Tottenham,29,11,8,10,47,40,7,41,WWWLLD
9,Arsenal,28,9,13,6,40,36,4,40,DDDWWW
10,Burnley,29,11,6,12,34,40,-6,39,WDWWDD
11,Crystal Palace,29,10,9,10,26,32,-6,39,LLLWWW
12,Everton,29,10,7,12,37,46,-9,37,DWWLDL
13,Newcastle United,29,9,8,12,25,41,-16,35,DDLLDW
14,Southampton,29,10,4,15,35,52,-17,34,WLLWLL
15,Brighton,29,6,11,12,32,40,-8,29,LDDDLD
16,West Ham,29,7,6,16,35,50,-15,27,LDLLWL
17,Watford,29,6,9,14,27,44,-17,27,LLDLWL
18,Bournemouth,29,7,6,16,29,47,-18,27,WWLLDL
19,Aston Villa,28,7,4,17,34,56,-22,25,DWLLLL
20,Norwich,29,5,6,18,25,52,-27,21,LDLLWL
1,Juventus,26,20,3,3,50,24,26,63,LWLWWW
2,Lazio,26,19,5,2,60,23,37,62,WDWWWW
3,Inter,25,16,6,3,49,24,25,54,DDWWLL
4,Atalanta,25,14,6,5,70,34,36,48,LWDWWW
5,Roma,26,13,6,7,51,35,16,45,DLLLWW
6,Napoli,26,11,6,9,41,36,5,39,WWLWWW
7,AC Milan,26,10,6,10,28,34,-6,36,WDLWDL
8,Verona,25,9,8,8,29,26,3,35,WDDWDL
9,Parma Calcio 1913,25,10,5,10,32,31,1,35,LWDLWL
10,Bologna,26,9,7,10,38,42,-4,34,WWWLDL
11,Sassuolo,25,9,5,11,41,39,2,32,WDWWLW
12,Cagliari,25,8,8,9,41,40,1,32,DDDLLL
13,Fiorentina,26,7,9,10,32,36,-4,30,DLLWDD
14,Udinese,26,7,7,12,21,37,-16,28,LLDDDD
15,Torino,25,8,3,14,28,45,-17,27,LLLLLL
16,Sampdoria,25,7,5,13,28,44,-16,26,LDLWLW
17,Genoa,26,6,7,13,31,47,-16,25,DDWWLW
18,Lecce,26,6,7,13,34,56,-22,25,LWWWLL
19,SPAL 2013,26,5,3,18,20,44,-24,18,LLLLLW
20,Brescia,26,4,4,18,22,49,-27,16,LLDLLL
1,Barcelona,27,18,4,5,63,31,32,58,WWWWLW
2,Real Madrid,27,16,8,3,49,19,30,56,WWDLWL
3,Sevilla,27,13,8,6,39,29,10,47,DLDWWD
4,Real Sociedad,27,14,4,9,45,33,12,46,LWWWLW
5,Getafe,27,13,7,7,37,25,12,46,WWLLWD
6,Atletico Madrid,27,11,12,4,31,21,10,45,LWDWDD
7,Valencia,27,11,9,7,38,39,-1,42,WLDLWD
8,Villarreal,27,11,5,11,44,38,6,38,WDWLLL
9,Granada,27,11,5,11,33,32,1,38,WLWWDD
10,Athletic Bilbao,27,9,10,8,29,23,6,37,LLLLWW
11,Osasuna,27,8,10,9,34,38,-4,34,LLWLLW
12,Real Betis,27,8,9,10,38,43,-5,33,DLDDLW
13,Levante,27,10,3,14,32,40,-8,33,LWLWLD
14,Deportivo Alaves,27,8,8,11,29,37,-8,32,DWLWDD
15,Real Valladolid,27,6,11,10,23,33,-10,29,WDLWLL
16,Eibar,27,7,6,14,27,41,-14,27,DLLWLL
17,Celta Vigo,27,5,11,11,22,34,-12,26,LWDWDD
18,Mallorca,27,7,4,16,28,44,-16,25,LLWDLW
19,Leganes,27,5,8,14,21,39,-18,23,WLDLDW
20,Espanyol,27,4,8,15,23,46,-23,20,LWDLDL
1,Bayern Munich,25,17,4,4,73,26,47,55,WDWWWW
2,Borussia Dortmund,25,15,6,4,68,33,35,51,WLWWWW
3,RasenBallsport Leipzig,25,14,8,3,62,26,36,50,DDWWDD
4,Borussia M.Gladbach,25,15,4,6,49,30,19,49,DWDWLW
5,Bayer Leverkusen,25,14,5,6,45,30,15,47,LWWWDW
6,Schalke 04,25,9,10,6,33,36,-3,37,DDDLLD
7,Wolfsburg,25,9,9,7,34,30,4,36,WDWWDD
8,Freiburg,25,10,6,9,34,35,-1,36,LWDLLW
9,Hoffenheim,25,10,5,10,35,43,-8,35,WLLDLD
10,FC Koln,25,10,2,13,39,45,-6,32,WLWWWL
11,Union Berlin,25,9,3,13,32,41,-9,30,LWLWDL
12,Eintracht Frankfurt,24,8,4,12,38,41,-3,28,WDWLLL
13,Hertha Berlin,25,7,7,11,32,48,-16,28,DLWLDD
14,Augsburg,25,7,6,12,36,52,-16,27,WLDLLL
15,Mainz 05,25,8,2,15,34,53,-19,26,LWDLWD
16,Fortuna Duesseldorf,25,5,7,13,27,50,-23,22,DDLWDD
17,Werder Bremen,24,4,6,14,27,55,-28,18,LLLLLD
18,Paderborn,25,4,4,17,30,54,-24,16,LDLLLL
